episode,timestep,reward
1197,193984,14.0
1200,194432,11.6667
1201,194656,13.0
1204,195104,13.0
1207,195552,11.6667
1208,195776,13.0
1211,196224,13.3333
1212,196448,16.0
1214,196672,12.0
1215,196896,12.0
1218,197344,13.3333
1219,197568,11.0
1222,198016,12.6667
1225,198464,12.6667
1226,198688,14.0
1229,199136,12.3333
1230,199360,9.0
1233,199808,11.6667
1236,200256,14.0
1237,200480,13.0
1240,200928,12.6667
1241,201152,15.0
1243,201376,12.5
1244,201600,14.0
1247,202048,12.3333
1248,202272,11.0
1251,202720,14.3333
1254,203168,13.3333
1255,203392,11.0
1258,203840,14.0
1259,204064,13.0
1261,204288,15.5
1262,204512,11.0
1265,204960,13.3333
1266,205184,9.0
1269,205632,14.0
1272,206080,12.6667
1273,206304,14.0
1276,206752,14.6667
1277,206976,12.0
1279,207200,13.0
1280,207424,10.0
1283,207872,13.3333
1284,208096,14.0
1287,208544,12.0
1288,208768,13.0
1290,208992,11.0
1291,209216,13.0
1294,209664,13.0
1295,209888,15.0
1298,210336,12.6667
1301,210784,12.6667
1302,211008,9.0
1305,211456,14.0
1306,211680,12.0
1308,211904,14.5
1309,212128,13.0
1312,212576,13.6667
1313,212800,12.0
1316,213248,13.0
1319,213696,14.3333
1320,213920,14.0
1323,214368,13.6667
1324,214592,13.0
1326,214816,13.0
1327,215040,12.0
1330,215488,14.3333
1331,215712,13.0
1334,216160,10.3333
1337,216608,13.3333
1338,216832,12.0
1341,217280,12.6667
1342,217504,13.0
1345,217952,14.0
1348,218400,13.3333
1349,218624,14.0
1352,219072,15.3333
1353,219296,13.0
1355,219520,12.0
1356,219744,16.0
1359,220192,14.0
1360,220416,12.0
1363,220864,12.3333
1366,221312,12.3333
1367,221536,14.0
1370,221984,14.3333
1371,222208,11.0
1373,222432,12.0
1374,222656,13.0
1377,223104,13.3333
1378,223328,13.0
1381,223776,12.0
